url	Categories	Products	Industries	Internals
https://blog.adobe.com/de/publish/2021/02/08/2021-02-adobe-digital-insights-corona-ruckt-digitale-signatur-in-den-fokus	"Kreativität"	"Sign, Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/de/publish/2021/02/04/adobe-digital-trends-report-2021	""	"Experience Cloud"	"B2B"	"Experience Cloud"
https://blog.adobe.com/de/publish/2021/02/03/2021-01-28-wir-feiern-kreativitaet-und-diversitaet-in-der-filmbranche	""	"Creative Cloud, After Effects, Audition, Premiere Pro"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2021/01/21/2021-01-kreativitaet-im-unterricht-foerdern	""	"Creative Cloud, Spark"	"Bildung"	"Creative Cloud"
https://blog.adobe.com/de/publish/2021/01/12/as-2021-01-adobe-stock-creative-trends-2021	"Kreativität"	"Stock"	""	""
https://blog.adobe.com/de/publish/2020/12/21/2020-12-beta-premiere-pro-rush-audition-apple-m1	"Kreativität"	"Premiere Rush, Premiere Pro, Creative Cloud, After Effects, Animate, Audition"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/12/11/as-20-12-pantone-color-of-the-year-2021-trendfarben-adobe-stock	"Kreativität"	"Stock"	""	""
https://blog.adobe.com/de/publish/2020/12/09/adobe-startet-ki-erweiterungen-in-customer-journey-analytics	"Customer Intelligence & Analytics"	""	""	""
https://blog.adobe.com/de/publish/2020/12/08/fotografie-updates-lightroom-dezember-2020	"Kreativität, Fotografie"	"Lightroom, Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/11/25/adobe-fuhrt-echtzeit-cdp-fur-b2b-marken-ein	"Kampagnen-Management, Aktuelles"	"Experience Cloud, Experience Platform"	""	"Experience Cloud"
https://blog.adobe.com/de/publish/2020/11/19/2020-11-schneller-export-premiere-pro-media-replacement-motion-graphics-templates	"Kreativität, Video"	"Premiere Rush, Premiere Pro, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/11/16/as-20-11-die-generation-50-erobert-die-bildwelt-und-das-sieht-ziemlich-gut-aus	"Fotografie"	"Stock"	""	"Visual Trends"
https://blog.adobe.com/de/publish/2020/11/10/as-20-11-art-deco-updates-adobe-stock-interpretiert-den-klassiker-neu	"Illustration"	"Stock, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/22/2020-10-adobe-max-2020-sneaks-kreativitaet-innovation	"Adobe MAX"	"Adobe Sensei, XD, Creative Cloud"	""	"Adobe Sensei, Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/22/mit-digitalen-versandlosungen-die-kundenbindung-starken	"Commerce"	""	"Einzelhandel"	""
https://blog.adobe.com/de/publish/2020/10/21/2020-10-adobe-max-2020-xd-release-integration-visual-studio-code-cc-libraries	"Adobe MAX"	"XD, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-dva-release-creators-help-video-content	"Adobe MAX, Video, Kreativität"	"Character Animator, Premiere Pro, Premiere Rush"	""	""
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-aero-mobile-desktop-app-application	"Adobe MAX"	"Creative Cloud, Aero"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-fresco-new-features	"Adobe MAX"	"Fresco, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-premiere-rush-new-features	"Adobe MAX, Video"	"Premiere Rush"	""	""
